Commodity,Unit,Minimum,Maximum,Average,Date
Tomato Big(Nepali),Kg,80,90,85,"July 21, 2023 A.D."
Tomato Small(Local),Kg,40,50,45,"July 21, 2023 A.D."
Tomato Small(Tunnel),Kg,60,70,65,"July 21, 2023 A.D."
Potato Red,Kg,48,50,49,"July 21, 2023 A.D."
Potato Red(Indian),Kg,35,36,36,"July 21, 2023 A.D."
Potato Red(Mude),Kg,40,42,41,"July 21, 2023 A.D."
Onion Dry (Indian),Kg,50,52,51,"July 21, 2023 A.D."
Carrot(Local),Kg,120,140,128,"July 21, 2023 A.D."
Cabbage(Local),Kg,10,15,12,"July 21, 2023 A.D."
Cauli Local,Kg,80,90,85,"July 21, 2023 A.D."
Cauli Local(Jyapu),Kg,90,100,95,"July 21, 2023 A.D."
Raddish Red,Kg,30,40,35,"July 21, 2023 A.D."
Raddish White(Local),Kg,15,20,18,"July 21, 2023 A.D."
Raddish White(Hybrid),Kg,20,25,23,"July 21, 2023 A.D."
Brinjal Long,Kg,40,50,45,"July 21, 2023 A.D."
Brinjal Round,Kg,60,70,65,"July 21, 2023 A.D."
Cow pea(Long),Kg,40,50,45,"July 21, 2023 A.D."
Cowpea(Short),Kg,60,70,67,"July 21, 2023 A.D."
French Bean(Local),Kg,50,60,55,"July 21, 2023 A.D."
French Bean(Hybrid),Kg,60,70,65,"July 21, 2023 A.D."
Sword Bean,Kg,150,180,165,"July 21, 2023 A.D."
Soyabean Green,Kg,80,90,85,"July 21, 2023 A.D."
Bitter Gourd,Kg,40,50,45,"July 21, 2023 A.D."
Bottle Gourd,Kg,60,70,67,"July 21, 2023 A.D."
Pointed Gourd(Local),Kg,50,60,55,"July 21, 2023 A.D."
Snake Gourd,Kg,30,40,35,"July 21, 2023 A.D."
Smooth Gourd,Kg,40,50,45,"July 21, 2023 A.D."
Sponge Gourd,Kg,50,60,55,"July 21, 2023 A.D."
Pumpkin,Kg,40,45,43,"July 21, 2023 A.D."
Squash(Round),Kg,50,60,57,"July 21, 2023 A.D."
Okara,Kg,50,60,55,"July 21, 2023 A.D."
Christophine,Kg,50,60,55,"July 21, 2023 A.D."
Brd Leaf Mustard,Kg,70,80,77,"July 21, 2023 A.D."
Mustard Leaf,Kg,50,60,55,"July 21, 2023 A.D."
Onion Green,Kg,80,90,87,"July 21, 2023 A.D."
Mushroom(Kanya),Kg,180,200,192,"July 21, 2023 A.D."
Mushroom(Button),Kg,340,380,363,"July 21, 2023 A.D."
Asparagus,Kg,250,300,275,"July 21, 2023 A.D."
Neuro,Kg,70,80,77,"July 21, 2023 A.D."
Brocauli,Kg,90,100,95,"July 21, 2023 A.D."
Sugarbeet,Kg,90,100,97,"July 21, 2023 A.D."
Red Cabbbage,Kg,70,80,75,"July 21, 2023 A.D."
Lettuce,Kg,70,80,77,"July 21, 2023 A.D."
Celery,Kg,120,150,135,"July 21, 2023 A.D."
Parseley,Kg,300,400,350,"July 21, 2023 A.D."
Mint,Kg,120,150,135,"July 21, 2023 A.D."
Tamarind,Kg,130,140,137,"July 21, 2023 A.D."
Bamboo Shoot,Kg,100,110,105,"July 21, 2023 A.D."
Tofu,Kg,110,120,117,"July 21, 2023 A.D."
Apple(Fuji),Kg,340,380,357,"July 21, 2023 A.D."
Banana,Doz,150,160,157,"July 21, 2023 A.D."
Lime,Kg,110,130,120,"July 21, 2023 A.D."
Pomegranate,Kg,380,400,393,"July 21, 2023 A.D."
Mango(Maldah),Kg,150,170,160,"July 21, 2023 A.D."
Mango(Dushari),Kg,150,160,155,"July 21, 2023 A.D."
Mango(Calcutte),Kg,70,80,75,"July 21, 2023 A.D."
Grapes(Green),Kg,450,500,475,"July 21, 2023 A.D."
Grapes(Black),Kg,550,580,565,"July 21, 2023 A.D."
Water Melon(Green),Kg,80,90,85,"July 21, 2023 A.D."
Sweet Orange,Kg,220,250,235,"July 21, 2023 A.D."
Mandarin,Kg,250,260,255,"July 21, 2023 A.D."
Pineapple,1 Pc,150,180,165,"July 21, 2023 A.D."
Cucumber(Local),Kg,50,60,56,"July 21, 2023 A.D."
Cucumber(Hybrid),Kg,20,25,23,"July 21, 2023 A.D."
Jack Fruit,Kg,50,60,57,"July 21, 2023 A.D."
Pear(Local),Kg,60,70,65,"July 21, 2023 A.D."
Papaya(Indian),Kg,90,100,97,"July 21, 2023 A.D."
Kiwi,Kg,800,900,850,"July 21, 2023 A.D."
Avocado,Kg,500,600,550,"July 21, 2023 A.D."
Ginger,Kg,260,280,270,"July 21, 2023 A.D."
Chilli Dry,Kg,460,480,470,"July 21, 2023 A.D."
Chilli Green,Kg,170,180,176,"July 21, 2023 A.D."
Chilli Green(Bullet),Kg,180,200,190,"July 21, 2023 A.D."
Chilli Green(Machhe),Kg,50,60,57,"July 21, 2023 A.D."
Chilli Green(Akbare),Kg,300,400,350,"July 21, 2023 A.D."
Capsicum,Kg,70,80,76,"July 21, 2023 A.D."
Garlic Green,Kg,80,90,87,"July 21, 2023 A.D."
Coriander Green,Kg,80,120,102,"July 21, 2023 A.D."
Garlic Dry Chinese,Kg,260,280,268,"July 21, 2023 A.D."
Garlic Dry Nepali,Kg,210,230,220,"July 21, 2023 A.D."
Clive Dry,Kg,140,160,150,"July 21, 2023 A.D."
Fish Fresh(Rahu),Kg,310,320,315,"July 21, 2023 A.D."
Fish Fresh(Bachuwa),Kg,240,260,250,"July 21, 2023 A.D."
Fish Fresh(Chhadi),Kg,240,260,250,"July 21, 2023 A.D."
Fish Fresh(Mungari),Kg,320,330,327,"July 21, 2023 A.D."
